,2021-06-26,2021-03-27,2020-12-26,2020-09-26
Total Revenue,81434.0,89584.0,111439.0,64698.0
Net Income,21744.0,23630.0,28755.0,12673.0
Total Operating Expenses,57308.0,62081.0,77905.0,49923.0
Total Assets,329840.0,337158.0,354054.0,323888.0
Total Current Assets,114423.0,121465.0,154106.0,143713.0
Total Liab,265560.0,267980.0,287830.0,258549.0
Short Long Term Debt,8039.0,8003.0,7762.0,8773.0
Long Term Debt,105752.0,108642.0,99281.0,98667.0
Total Stockholder Equity,64280.0,69178.0,66224.0,65339.0
Total Cash From Operating Activities,21094.0,23981.0,38763.0,20576.0
Capital Expenditures,-2093.0,-2269.0,-3500.0,-1784.0
Free Cash Flow,19001.0,21712.0,35263.0,18792.0
Price,132.91087341308594,120.82344055175781,136.05076599121094,111.56243896484375
Revenue Growth (%),-9.097606715484908,-19.611626091404265,72.24489165043741,
Net Profit Growth (%),-7.9813796022005885,-17.822987306555383,126.89970804071646,
Net Profit Margin (%),26.701377802883318,26.377478121093052,25.803354301456405,19.587931620761072
Positive OCF ?,True,True,True,True
Current Ratio,0.43087437867148665,0.453261437420703,0.5354063162283292,0.5558443467195774
Debt/Equity,1.7702395768512758,1.6861574488999393,1.6163777482483692,1.6443471739696047
Return On Equity (%),33.82700684505289,34.15825840585157,43.420814206330036,19.395766693705138
